n,n_w,p,kappa,noise_std,lambda,R_squared_ind,R_squared_sum
7500,200,5000,0.05,0.5,4.853636363636364,0.4637440002056879,0.8089321171151557
7500,200,5000,0.05,0.5,4.954545454545454,0.4638900943552541,0.8093117790345836
7500,200,5000,0.05,0.5,5.055454545454545,0.4640344801012013,0.8096876606151596
7500,200,5000,0.05,0.5,5.156363636363636,0.4641771836912086,0.8100598162194906
7500,200,5000,0.05,0.5,5.257272727272727,0.46431823086544277,0.8104282991868796
7500,200,5000,0.05,0.5,5.3581818181818175,0.4644576468684817,0.8107931618571769
7500,200,5000,0.05,0.5,5.459090909090909,0.4645954564609059,0.811154455593971
7500,200,5000,0.05,0.5,5.56,0.4647316839305682,0.811512230807135
7500,200,5000,0.05,0.5,5.66090909090909,0.4648663531035554,0.8118665369747509
7500,200,5000,0.05,0.5,5.761818181818182,0.46499948735484764,0.8122174226644348
7500,200,5000,0.05,0.5,5.862727272727272,0.46513110961868664,0.8125649355540752
7500,200,5000,0.05,0.5,5.963636363636363,0.46526124239866384,0.8129091224520124
7500,200,5000,0.05,0.5,6.064545454545455,0.4653899077775342,0.8132500293166658
7500,200,5000,0.05,0.5,6.165454545454545,0.46551712742676654,0.8135877012756374
7500,200,5000,0.05,0.5,6.266363636363636,0.4656429226158367,0.8139221826443006
7500,200,5000,0.05,0.5,6.367272727272727,0.4657673142212741,0.8142535169438909
7500,200,5000,0.05,0.5,6.468181818181818,0.465890322735466,0.8145817469191208
7500,200,5000,0.05,0.5,6.569090909090908,0.4660119682752308,0.8149069145553204
7500,200,5000,0.05,0.5,6.67,0.46613227059016343,0.8152290610951358
7500,200,5000,0.05,0.5,6.7709090909090905,0.46625124907076276,0.8155482270547812
7500,200,5000,0.05,0.5,6.871818181818181,0.4663689227563469,0.815864452239871
7500,200,5000,0.05,0.5,6.972727272727273,0.46648531034276086,0.8161777757608393
7500,200,5000,0.05,0.5,7.073636363636363,0.4666004301898873,0.8164882360479607
7500,200,5000,0.05,0.5,7.174545454545454,0.4667143003289601,0.8167958708659814
7500,200,5000,0.05,0.5,7.275454545454545,0.4668269384696931,0.8171007173283774
7500,200,5000,0.05,0.5,7.376363636363636,0.4669383620072238,0.8174028119112476
7500,200,5000,0.05,0.5,7.477272727272727,0.46704858802888205,0.8177021904668524
7500,200,5000,0.05,0.5,7.578181818181818,0.46715763332078586,0.8179988882368109
7500,200,5000,0.05,0.5,7.679090909090909,0.46726551437427066,0.8182929398649627
7500,200,5000,0.05,0.5,7.779999999999999,0.4673722473921568,0.8185843794099095
7500,200,5000,0.05,0.5,7.880909090909091,0.4674778482948601,0.8188732403572392
7500,200,5000,0.05,0.5,7.981818181818181,0.46758233272634875,0.8191595556314498
7500,200,5000,0.05,0.5,8.082727272727272,0.4676857160599538,0.8194433576075729
7500,200,5000,0.05,0.5,8.183636363636364,0.467788013404034,0.8197246781225151
7500,200,5000,0.05,0.5,8.284545454545453,0.4678892396075014,0.8200035484861126
7500,200,5000,0.05,0.5,8.385454545454545,0.46798940926521204,0.8202799994919244
7500,200,5000,0.05,0.5,8.486363636363636,0.4680885367232227,0.8205540614277549
7500,200,5000,0.05,0.5,8.587272727272726,0.46818663608392147,0.8208257640859229
7500,200,5000,0.05,0.5,8.688181818181818,0.46828372121103223,0.8210951367732824
7500,200,5000,0.05,0.5,8.789090909090909,0.4683798057344986,0.8213622083210022
7500,200,5000,0.05,0.5,8.889999999999999,0.4684749030552501,0.821627007094109
7500,200,5000,0.05,0.5,8.99090909090909,0.46856902634985376,0.821889561000803
7500,200,5000,0.05,0.5,9.091818181818182,0.4686621885750547,0.8221498975015521
7500,200,5000,0.05,0.5,9.192727272727272,0.468754402472208,0.8224080436179697
7500,200,5000,0.05,0.5,9.293636363636365,0.46884568057160525,0.8226640259414829
7500,200,5000,0.05,0.5,9.394545454545456,0.4689360351967,0.8229178706417958
7500,200,5000,0.05,0.5,9.495454545454544,0.4690254784682315,0.8231696034751552
7500,200,5000,0.05,0.5,9.596363636363636,0.46911402230825405,0.823419249792423
7500,200,5000,0.05,0.5,9.697272727272727,0.46920167844407007,0.8236668345469615
7500,200,5000,0.05,0.5,9.798181818181815,0.4692884584120721,0.8239123823023327
7500,200,5000,0.05,0.5,9.899090909090908,0.4693743735614966,0.8241559172398253
7500,200,5000,0.05,0.5,10.0,0.46945943505808935,0.8243974631658023
7500,200,5000,0.05,2.0,0.01,0.1563052627760128,1.5302634379061828
7500,200,5000,0.05,2.0,0.1109090909090909,0.15640990141291986,1.5308931874371816
7500,200,5000,0.05,2.0,0.2118181818181818,0.15651306670847642,1.5315140613876335
7500,200,5000,0.05,2.0,0.3127272727272727,0.15661478744719587,1.532126235177504
7500,200,5000,0.05,2.0,0.4136363636363636,0.15671509167837422,1.532729879667066
7500,200,5000,0.05,2.0,0.5145454545454545,0.15681400673956247,1.5333251613053052
7500,200,5000,0.05,2.0,0.6154545454545455,0.15691155927913544,1.533912242272485
7500,200,5000,0.05,2.0,0.7163636363636363,0.15700777527799661,1.5344912806171753
7500,200,5000,0.05,2.0,0.8172727272727273,0.15710268007045797,1.5350624303879628
7500,200,5000,0.05,2.0,0.9181818181818182,0.15719629836433088,1.5356258417601105
7500,200,5000,0.05,2.0,1.019090909090909,0.1572886542602648,1.5361816611573853
7500,200,5000,0.05,2.0,1.12,0.1573797712703648,1.5367300313692502
7500,200,5000,0.05,2.0,1.220909090909091,0.15746967233612105,1.5372710916636636
7500,200,5000,0.05,2.0,1.3218181818181818,0.15755837984567928,1.5378049778956524
7500,200,5000,0.05,2.0,1.4227272727272726,0.1576459156504811,1.538331822611849
7500,200,5000,0.05,2.0,1.5236363636363637,0.1577323010813011,1.538851755151174
7500,200,5000,0.05,2.0,1.6245454545454543,0.15781755696370597,1.5393649017418272
