n,n_w,p,kappa,noise_std,lambda,iter,R_squared_ind,R_squared_sum
7500,200,10000,0.05,0.5,10.0,4,0.371053135382125,5.321834415232364
7500,200,10000,0.05,0.5,10.0,5,0.3558432084853334,0.0220245286080323
7500,200,10000,0.05,0.5,10.0,6,0.3141617420351007,2.30331732290913
7500,200,10000,0.05,0.5,10.0,7,0.3487245617856387,5.497025338888186
7500,200,10000,0.05,0.5,10.0,8,0.3456826598042715,0.1786410947672212
7500,200,10000,0.05,0.5,10.0,9,0.3269091029920843,0.6283595098315568
7500,200,10000,0.05,0.5,10.0,10,0.3155583953172564,0.0359263791022078
7500,200,10000,0.05,0.5,10.0,11,0.3367897240891654,1.955951131175232
7500,200,10000,0.05,0.5,10.0,12,0.3819223253812336,0.8010310273471167
7500,200,10000,0.05,0.5,10.0,13,0.3121086182879183,0.0825937973410229
7500,200,10000,0.05,0.5,10.0,14,0.2999753910899162,0.1154415345387294
7500,200,10000,0.05,0.5,10.0,15,0.3597087366072958,3.44696251930136
7500,200,10000,0.05,0.5,10.0,16,0.3416693170297938,0.8099588118970039
7500,200,10000,0.05,0.5,10.0,17,0.3442736816661398,0.3801276687302522
7500,200,10000,0.05,0.5,10.0,18,0.354064742268612,0.2331465543541578
7500,200,10000,0.05,0.5,10.0,19,0.360001040623182,0.8007925068859622
7500,200,10000,0.05,0.5,10.0,20,0.3373706491283893,0.813140653493858
7500,200,10000,0.05,2.0,10.0,1,0.12820430041401,0.49246482915489
7500,200,10000,0.05,2.0,10.0,2,0.1105003467373025,0.0190762047184945
7500,200,10000,0.05,2.0,10.0,3,0.1374245179798031,0.6319433848310376
7500,200,10000,0.05,2.0,10.0,4,0.108485382018628,0.5330553166878286
7500,200,10000,0.05,2.0,10.0,5,0.1026126295245979,0.4433637046303904
7500,200,10000,0.05,2.0,10.0,6,0.1027091854336365,0.0120690707001879
7500,200,10000,0.05,2.0,10.0,7,0.1148497312992833,0.1499940908217999
7500,200,10000,0.05,2.0,10.0,8,0.1281773977051016,0.0643735382921266
7500,200,10000,0.05,2.0,10.0,9,0.108514508912014,0.3423674633333239
7500,200,10000,0.05,2.0,10.0,10,0.1029364089983095,0.0031785354490954
7500,200,10000,0.05,2.0,10.0,11,0.1232396044573924,0.583724620338752
7500,200,10000,0.05,2.0,10.0,12,0.1437578038055862,1.452309676457783
7500,200,10000,0.05,2.0,10.0,13,0.1356636137511971,10.141956829684949
7500,200,10000,0.05,2.0,10.0,14,0.1186006671445173,0.5253682995454645
7500,200,10000,0.05,2.0,10.0,15,0.1563801999575633,0.3768635046481025
7500,200,10000,0.05,2.0,10.0,16,0.1129959325911296,0.7816961042742032
7500,200,10000,0.05,2.0,10.0,17,0.1222711975729638,0.1964606218530182
7500,200,10000,0.05,2.0,10.0,18,0.1113364042244601,0.3552163285063419
7500,200,10000,0.05,2.0,10.0,19,0.1252490696792403,0.8110959113934377
7500,200,10000,0.05,2.0,10.0,20,0.1018345001656386,2.104976571965829
7500,200,10000,0.05,3.0,10.0,1,0.0672446059854642,0.6777698767983278
7500,200,10000,0.05,3.0,10.0,2,0.0717934720738922,3.573099755263935
7500,200,10000,0.05,3.0,10.0,3,0.057249665278757,10.118937025459058
7500,200,10000,0.05,3.0,10.0,4,0.0589892096154848,0.0326393194018229
7500,200,10000,0.05,3.0,10.0,5,0.0875585633320354,0.6330702982979135
7500,200,10000,0.05,3.0,10.0,6,0.0568962778719269,0.3408697244771229
7500,200,10000,0.05,3.0,10.0,7,0.0585015373774088,1.0888207495426747
7500,200,10000,0.05,3.0,10.0,8,0.064394592136064,0.9450131555136996
7500,200,10000,0.05,3.0,10.0,9,0.0666279943576388,0.2521005008825801
7500,200,10000,0.05,3.0,10.0,10,0.077415906039896,0.0004316231224334
7500,200,10000,0.05,3.0,10.0,11,0.0660094698851318,0.4870190217144732
7500,200,10000,0.05,3.0,10.0,12,0.0583437808712961,0.0525851997122011
