n,n_w,p,rank,alpha,kappa,noise_std,lambda,R_squared_ind,R_squared_sum
7500,1000,5000,5,0.1,0.05,2.0,2.936363636363636,0.17985122352166374,0.7051403414218355
7500,1000,5000,5,0.1,0.05,2.0,3.037272727272727,0.18025423266694837,0.7072198769995626
7500,1000,5000,5,0.1,0.05,2.0,3.1381818181818177,0.1806408192257252,0.7092233927036237
7500,1000,5000,5,0.1,0.05,2.0,3.239090909090909,0.18101188511753558,0.7111549860618578
7500,1000,5000,5,0.1,0.05,2.0,3.34,0.1813682679126536,0.7130184587997189
7500,1000,5000,5,0.1,0.05,2.0,3.4409090909090905,0.1817107465672155,0.7148173437347735
7500,1000,5000,5,0.1,0.05,2.0,3.541818181818181,0.18204004654133238,0.7165549287227176
7500,1000,5000,5,0.1,0.05,2.0,3.6427272727272726,0.1823568443780342,0.7182342780323614
7500,1000,5000,5,0.1,0.05,2.0,3.743636363636363,0.1826617718096482,0.7198582514719516
7500,1000,5000,5,0.1,0.05,2.0,3.8445454545454543,0.18295541944878996,0.7214295215431256
7500,1000,5000,5,0.1,0.05,2.0,3.945454545454545,0.1832383401132228,0.7229505888600987
7500,1000,5000,5,0.1,0.05,2.0,4.046363636363636,0.183511051827149,0.7244237960390082
7500,1000,5000,5,0.1,0.05,2.0,4.147272727272727,0.18377404053582952,0.7258513402347713
7500,1000,5000,5,0.1,0.05,2.0,4.248181818181818,0.1840277625656058,0.7272352844793029
7500,1000,5000,5,0.1,0.05,2.0,4.349090909090909,0.18427264685728922,0.7285775679550177
7500,1000,5000,5,0.1,0.05,2.0,4.449999999999999,0.18450909699736218,0.7298800153204338
7500,1000,5000,5,0.1,0.05,2.0,4.550909090909091,0.18473749306841425,0.73114434519007
7500,1000,5000,5,0.1,0.05,2.0,4.651818181818181,0.18495819333763774,0.7323721778582628
7500,1000,5000,5,0.1,0.05,2.0,4.752727272727272,0.18517153579996015,0.7335650423456721
7500,1000,5000,5,0.1,0.05,2.0,4.853636363636364,0.18537783959044646,0.7347243828378801
7500,1000,5000,5,0.1,0.05,2.0,4.954545454545454,0.18557740627891958,0.7358515645773609
7500,1000,5000,5,0.1,0.05,2.0,5.055454545454545,0.18577052105827468,0.7369478792630548
7500,1000,5000,5,0.1,0.05,2.0,5.156363636363636,0.1859574538366868,0.7380145500056212
7500,1000,5000,5,0.1,0.05,2.0,5.257272727272727,0.1861384602427874,0.7390527358810891
7500,1000,5000,5,0.1,0.05,2.0,5.3581818181818175,0.18631378255190625,0.7400635361209398
7500,1000,5000,5,0.1,0.05,2.0,5.459090909090909,0.1864836505406116,0.7410479939725257
7500,1000,5000,5,0.1,0.05,2.0,5.56,0.18664828227602484,0.7420071002601254
7500,1000,5000,5,0.1,0.05,2.0,5.66090909090909,0.18680788484571387,0.7429417966737635
7500,1000,5000,5,0.1,0.05,2.0,5.761818181818182,0.1869626550333811,0.7438529788100897
7500,1000,5000,5,0.1,0.05,2.0,5.862727272727272,0.18711277994503694,0.744741498987158
7500,1000,5000,5,0.1,0.05,2.0,5.963636363636363,0.18725843758988478,0.7456081688527425
7500,1000,5000,5,0.1,0.05,2.0,6.064545454545455,0.18739979741973273,0.746453761803861
7500,1000,5000,5,0.1,0.05,2.0,6.165454545454545,0.1875370208303782,0.7472790152334807
7500,1000,5000,5,0.1,0.05,2.0,6.266363636363636,0.18767026162808564,0.7480846326188046
7500,1000,5000,5,0.1,0.05,2.0,6.367272727272727,0.187799666463984,0.7488712854641876
7500,1000,5000,5,0.1,0.05,2.0,6.468181818181818,0.18792537523894898,0.7496396151104912
7500,1000,5000,5,0.1,0.05,2.0,6.569090909090908,0.188047521481302,0.7503902344215986
7500,1000,5000,5,0.1,0.05,2.0,6.67,0.1881662326994466,0.7511237293578186
7500,1000,5000,5,0.1,0.05,2.0,6.7709090909090905,0.18828163071137305,0.751840660445035
7500,1000,5000,5,0.1,0.05,2.0,6.871818181818181,0.18839383195279508,0.7525415641476658
7500,1000,5000,5,0.1,0.05,2.0,6.972727272727273,0.18850294776552495,0.7532269541527714
7500,1000,5000,5,0.1,0.05,2.0,7.073636363636363,0.18860908466756043,0.7538973225720281
7500,1000,5000,5,0.1,0.05,2.0,7.174545454545454,0.18871234460622588,0.7545531410676929
7500,1000,5000,5,0.1,0.05,2.0,7.275454545454545,0.18881282519560333,0.7551948619081691
7500,1000,5000,5,0.1,0.05,2.0,7.376363636363636,0.18891061993938235,0.755822918958297
7500,1000,5000,5,0.1,0.05,2.0,7.477272727272727,0.1890058184401665,0.7564377286090932
7500,1000,5000,5,0.1,0.05,2.0,7.578181818181818,0.18909850659619074,0.7570396906512344
7500,1000,5000,5,0.1,0.05,2.0,7.679090909090909,0.1891887667863261,0.7576291890962799
7500,1000,5000,5,0.1,0.05,2.0,7.779999999999999,0.1892766780441793,0.7582065929492525
7500,1000,5000,5,0.1,0.05,2.0,7.880909090909091,0.18936231622203156,0.7587722569359552
7500,1000,5000,5,0.1,0.05,2.0,7.981818181818181,0.1894457541453024,0.7593265221881063
7500,1000,5000,5,0.1,0.05,2.0,8.082727272727272,0.1895270617581725,0.7598697168891453
7500,1000,5000,5,0.1,0.05,2.0,8.183636363636364,0.18960630626094996,0.7604021568833401
7500,1000,5000,5,0.1,0.05,2.0,8.284545454545453,0.18968355223972216,0.7609241462506262
7500,1000,5000,5,0.1,0.05,2.0,8.385454545454545,0.18975886178879345,0.7614359778494268
7500,1000,5000,5,0.1,0.05,2.0,8.486363636363636,0.18983229462637197,0.7619379338295239
7500,1000,5000,5,0.1,0.05,2.0,8.587272727272726,0.18990390820393716,0.7624302861169119
7500,1000,5000,5,0.1,0.05,2.0,8.688181818181818,0.18997375780968462,0.7629132968724153
