n,n_w,p,df,kappa,noise_std,lambda,R_squared_ind,R_squared_sum
7500,1000,5000,3.0,0.05,0.5,7.275454545454545,0.0381566686667652,58.630975530717706
7500,1000,5000,3.0,0.05,0.5,7.376363636363636,0.03818077320600787,58.584357868017676
7500,1000,5000,3.0,0.05,0.5,7.477272727272727,0.03820416601496851,58.53868947206369
7500,1000,5000,3.0,0.05,0.5,7.578181818181818,0.03822687308994501,58.49394247127875
7500,1000,5000,3.0,0.05,0.5,7.679090909090909,0.038248919268796124,58.450090101971696
7500,1000,5000,3.0,0.05,0.5,7.779999999999999,0.03827032829253483,58.40710665181551
7500,1000,5000,3.0,0.05,0.5,7.880909090909091,0.03829112286308919,58.36496740687481
7500,1000,5000,3.0,0.05,0.5,7.981818181818181,0.03831132469750452,58.32364860191833
7500,1000,5000,3.0,0.05,0.5,8.082727272727272,0.038330954578839796,58.28312737377256
7500,1000,5000,3.0,0.05,0.5,8.183636363636364,0.038350032403990326,58.24338171749601
7500,1000,5000,3.0,0.05,0.5,8.284545454545453,0.038368577228650745,58.20439044517061
7500,1000,5000,3.0,0.05,0.5,8.385454545454545,0.038386607309614976,58.166133147124036
7500,1000,5000,3.0,0.05,0.5,8.486363636363636,0.038404140144593285,58.12859015541287
7500,1000,5000,3.0,0.05,0.5,8.587272727272726,0.038421192509716075,58.091742509409144
7500,1000,5000,3.0,0.05,0.5,8.688181818181818,0.0384377804948771,58.05557192334678
7500,1000,5000,3.0,0.05,0.5,8.789090909090909,0.038453919537059504,58.020060755694395
7500,1000,5000,3.0,0.05,0.5,8.889999999999999,0.03846962445177699,57.98519198023298
7500,1000,5000,3.0,0.05,0.5,8.99090909090909,0.03848490946275181,57.95094915872521
7500,1000,5000,3.0,0.05,0.5,9.091818181818182,0.03849978822994444,57.91731641507198
7500,1000,5000,3.0,0.05,0.5,9.192727272727272,0.03851427387603755,57.88427841086106
7500,1000,5000,3.0,0.05,0.5,9.293636363636365,0.038528379011473914,57.85182032221693
7500,1000,5000,3.0,0.05,0.5,9.394545454545456,0.03854211575813801,57.819927817871886
7500,1000,5000,3.0,0.05,0.5,9.495454545454544,0.03855549577176502,57.78858703837936
7500,1000,5000,3.0,0.05,0.5,9.596363636363636,0.03856853026315601,57.75778457640088
7500,1000,5000,3.0,0.05,0.5,9.697272727272727,0.03858123001827203,57.72750745799946
7500,1000,5000,3.0,0.05,0.5,9.798181818181815,0.03859360541727426,57.69774312487895
7500,1000,5000,3.0,0.05,0.5,9.899090909090908,0.038605666452574745,57.66847941751329
7500,1000,5000,3.0,0.05,0.5,10.0,0.03861742274595466,57.639704559110974
7500,1000,5000,3.0,0.05,2.0,0.01,0.028414855990263627,1.7243947290186596
7500,1000,5000,3.0,0.05,2.0,0.1109090909090909,0.030064419804103616,1.7988965795674225
7500,1000,5000,3.0,0.05,2.0,0.2118181818181818,0.031109791024653194,1.8441646391214583
7500,1000,5000,3.0,0.05,2.0,0.3127272727272727,0.03183027861991098,1.8748329886155617
7500,1000,5000,3.0,0.05,2.0,0.4136363636363636,0.032352944610907944,1.8970343243842405
7500,1000,5000,3.0,0.05,2.0,0.5145454545454545,0.032745671539324415,1.9138612726846822
7500,1000,5000,3.0,0.05,2.0,0.6154545454545455,0.033048447941767305,1.927057517398207
7500,1000,5000,3.0,0.05,2.0,0.7163636363636363,0.03328648091981269,1.9376844712646215
7500,1000,5000,3.0,0.05,2.0,0.8172727272727273,0.033476482370365324,1.94642600137722
7500,1000,5000,3.0,0.05,2.0,0.9181818181818182,0.03362997703108232,1.9537426766223995
7500,1000,5000,3.0,0.05,2.0,1.019090909090909,0.03375516875481011,1.9599559778866582
7500,1000,5000,3.0,0.05,2.0,1.12,0.03385805235670887,1.9652970579268298
7500,1000,5000,3.0,0.05,2.0,1.220909090909091,0.03394310588150821,1.9699363453616883
7500,1000,5000,3.0,0.05,2.0,1.3218181818181818,0.034013737699141275,1.9740022373216175
7500,1000,5000,3.0,0.05,2.0,1.4227272727272726,0.03407258433669697,1.9775932997593775
7500,1000,5000,3.0,0.05,2.0,1.5236363636363637,0.03412171422176855,1.9807864597996623
7500,1000,5000,3.0,0.05,2.0,1.6245454545454543,0.034162770317079275,1.9836426443569064
7500,1000,5000,3.0,0.05,2.0,1.7254545454545454,0.0341970720196617,1.9862107462596643
7500,1000,5000,3.0,0.05,2.0,1.8263636363636364,0.03422568927676504,1.9885304682348177
7500,1000,5000,3.0,0.05,2.0,1.9272727272727272,0.03424949736363854,1.9906343976905307
7500,1000,5000,3.0,0.05,2.0,2.028181818181818,0.03426921795476287,1.9925495440228658
7500,1000,5000,3.0,0.05,2.0,2.129090909090909,0.034285450320182945,1.994298493822249
7500,1000,5000,3.0,0.05,2.0,2.2299999999999995,0.034298695301616534,1.9959002901559366
7500,1000,5000,3.0,0.05,2.0,2.3309090909090906,0.03430937393800933,1.9973711097387512
7500,1000,5000,3.0,0.05,2.0,2.4318181818181817,0.0343178420771593,1.998724790114594
7500,1000,5000,3.0,0.05,2.0,2.5327272727272723,0.03432440194210887,1.9999732441859606
7500,1000,5000,3.0,0.05,2.0,2.6336363636363638,0.03432931136321958,2.001126789191958
7500,1000,5000,3.0,0.05,2.0,2.7345454545454544,0.034332791203727044,2.002194410045788
7500,1000,5000,3.0,0.05,2.0,2.835454545454545,0.03433503137483426,2.00318397182591
7500,1000,5000,3.0,0.05,2.0,2.936363636363636,0.03433619574050499,2.0041023925290187
7500,1000,5000,3.0,0.05,2.0,3.037272727272727,0.03433642614154529,2.0049557845068686
7500,1000,5000,3.0,0.05,2.0,3.1381818181818177,0.03433584571609653,2.0057495710310063
7500,1000,5000,3.0,0.05,2.0,3.239090909090909,0.03433456165428757,2.0064885829582133
7500,1000,5000,3.0,0.05,2.0,3.34,0.03433266749497871,2.0071771393651257
7500,1000,5000,3.0,0.05,2.0,3.4409090909090905,0.03433024504976705,2.007819115184103
7500,1000,5000,3.0,0.05,2.0,3.541818181818181,0.0343273660219061,2.008417998233971
7500,1000,5000,3.0,0.05,2.0,3.6427272727272726,0.034324093374215964,2.008976937547905
7500,1000,5000,3.0,0.05,2.0,3.743636363636363,0.03432048248946151,2.0094987845200065
7500,1000,5000,3.0,0.05,2.0,3.8445454545454543,0.03431658215835067,2.009986128094859
7500,1000,5000,3.0,0.05,2.0,3.945454545454545,0.03431243542372332,2.010441324990972
7500,1000,5000,3.0,0.05,2.0,4.046363636363636,0.034308080304266755,2.010866525764428
